Team,Home,Win,MIN,PTS,FGM,FGA,FGP,3PM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,TRB,AST,STL,BLK,TOV,PF,+/-
UTA,UTA @ NOP,1,240,116,40,96,0.417,12,32,0.375,24,25,0.96,17,38,55,24,4,3,15,20,17
SAC,SAC @ DEN,0,240,104,39,91,0.429,6,31,0.194,20,26,0.769,7,31,38,25,3,1,3,21,-26
LAL,LAL vs. CLE,1,241,127,48,96,0.5,13,34,0.382,18,20,0.9,14,37,51,30,9,4,13,19,14
CLE,CLE @ LAL,0,239,113,41,88,0.466,12,31,0.387,19,23,0.826,7,30,37,22,4,5,12,18,-14
ATL,ATL vs. CHI,0,241,122,42,82,0.512,19,40,0.475,19,22,0.864,5,37,42,32,2,5,15,14,-7
GSW,GSW @ MIN,0,239,103,37,91,0.407,10,36,0.278,19,21,0.905,12,38,50,22,6,7,13,17,-6
BOS,BOS vs. IND,0,241,97,34,81,0.42,12,37,0.324,17,21,0.81,10,32,42,26,10,5,16,13,-2
DEN,DEN vs. SAC,1,240,130,50,89,0.562,15,37,0.405,15,21,0.714,8,43,51,38,2,4,7,17,26
HOU,HOU @ DAL,1,240,105,39,84,0.464,17,45,0.378,10,14,0.714,6,39,45,21,5,5,11,22,23
MIN,MIN vs. GSW,1,241,109,44,95,0.463,6,20,0.3,15,21,0.714,13,37,50,27,7,3,9,15,6
DAL,DAL vs. HOU,0,240,82,33,94,0.351,5,31,0.161,11,18,0.611,17,36,53,27,5,2,10,18,-23
PHI,PHI @ BKN,1,241,120,50,95,0.526,9,26,0.346,11,18,0.611,12,36,48,33,12,7,9,19,23
BKN,BKN vs. PHI,0,242,97,33,85,0.388,10,28,0.357,21,24,0.875,13,29,42,17,5,5,18,19,-23
DAL,DAL vs. MEM,1,240,114,37,77,0.481,10,29,0.345,30,35,0.857,9,43,52,21,8,3,10,18,34
CHA,CHA vs. PHX,1,239,122,44,87,0.506,13,32,0.406,21,27,0.778,7,34,41,24,11,5,12,18,5
MEM,MEM @ DAL,0,239,80,30,84,0.357,7,18,0.389,13,17,0.765,9,32,41,19,4,4,14,24,-34
LAC,LAC vs. ORL,1,239,113,41,78,0.526,7,18,0.389,24,28,0.857,8,33,41,17,9,3,15,20,8
MIA,MIA vs. WAS,1,240,129,52,88,0.591,10,28,0.357,15,21,0.714,5,37,42,27,9,5,10,25,27
PHX,PHX @ CHA,0,241,115,42,83,0.506,18,32,0.563,13,19,0.684,5,30,35,27,9,3,14,25,-7
SAS,SAS @ OKC,0,241,94,40,86,0.465,10,20,0.5,4,7,0.571,6,37,43,26,6,3,14,22,-10
ORL,ORL @ LAC,0,241,105,38,84,0.452,8,24,0.333,21,27,0.778,9,24,33,20,12,2,14,19,-8
WAS,WAS @ MIA,0,240,102,34,77,0.442,7,20,0.35,27,34,0.794,8,32,40,22,4,2,15,20,-27
