Team,Home,Win,MIN,PTS,FGM,FGA,FGP,3PM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,TRB,AST,STL,BLK,TOV,PF,+/-
MEM,MEM vs. PHX,0,240,102,33,87,0.379,13,31,0.419,23,28,0.821,11,37,48,23,8,8,20,29,-8
DAL,DAL vs. OKC,0,266,110,44,91,0.484,13,36,0.361,9,15,0.6,8,28,36,30,11,1,16,22,-1
IND,IND @ ATL,0,240,102,38,90,0.422,11,32,0.344,15,20,0.75,11,32,43,21,13,5,24,20,-5
CHA,CHA @ BOS,0,239,106,42,91,0.462,9,27,0.333,13,22,0.591,9,24,33,24,6,6,7,17,-28
ATL,ATL vs. IND,1,241,107,38,87,0.437,9,29,0.31,22,27,0.815,15,34,49,21,13,11,21,23,5
GSW,GSW @ WAS,1,240,109,37,72,0.514,10,24,0.417,25,30,0.833,3,33,36,24,10,8,14,21,8
MIL,MIL @ DET,0,241,87,28,73,0.384,8,24,0.333,23,28,0.821,6,29,35,16,7,3,13,20,-23
NOP,NOP @ SAS,1,239,121,50,99,0.505,9,26,0.346,12,15,0.8,12,31,43,26,7,3,12,17,5
LAC,LAC vs. HOU,0,240,92,36,79,0.456,7,23,0.304,13,19,0.684,4,35,39,17,6,2,16,19,-13
LAC,LAC @ DEN,1,240,122,46,89,0.517,7,26,0.269,23,31,0.742,13,30,43,26,12,7,18,25,2
WAS,WAS @ MIL,1,238,107,42,88,0.477,7,20,0.35,16,22,0.727,9,31,40,30,9,6,11,22,3
MIL,MIL vs. WAS,0,239,104,35,77,0.455,10,26,0.385,24,28,0.857,8,32,40,20,10,9,16,20,-3
SAC,SAC @ POR,0,240,99,39,88,0.443,7,22,0.318,14,15,0.933,6,30,36,20,14,4,12,12,-17
MIA,MIA vs. PHI,1,239,102,36,82,0.439,9,27,0.333,21,28,0.75,11,26,37,19,12,9,15,19,1
POR,POR vs. SAC,1,241,116,44,84,0.524,15,34,0.441,13,17,0.765,10,37,47,27,10,2,17,15,17
CLE,CLE vs. BKN,1,242,129,50,97,0.515,12,24,0.5,17,27,0.63,14,41,55,24,7,1,11,24,6
CHI,CHI @ CHA,0,239,103,39,81,0.481,9,24,0.375,16,21,0.762,11,33,44,26,8,5,20,23,-15
PHI,PHI @ MIA,0,239,101,35,84,0.417,12,31,0.387,19,23,0.826,10,34,44,25,10,3,23,24,-1
CHA,CHA vs. CHI,1,241,118,44,82,0.537,15,35,0.429,15,21,0.714,6,29,35,28,11,8,14,14,15
DEN,DEN vs. LAC,0,239,120,43,87,0.494,10,31,0.323,24,30,0.8,11,30,41,27,11,7,20,27,6
BKN,BKN @ CLE,0,240,123,44,82,0.537,12,32,0.375,23,30,0.767,3,33,36,29,6,0,12,21,-6
GSW,GSW @ NYK,1,240,125,44,85,0.518,15,31,0.484,22,26,0.846,8,35,43,31,8,5,12,13,14
NYK,NYK vs. GSW,0,240,111,47,96,0.49,10,25,0.4,7,9,0.778,10,29,39,28,7,3,14,18,-14
UTA,UTA vs. HOU,0,240,85,31,71,0.437,7,29,0.241,16,22,0.727,7,32,39,21,6,4,22,19,-11
DAL,DAL vs. IND,1,242,109,40,88,0.455,14,37,0.378,15,18,0.833,7,37,44,20,9,3,10,21,6
SAC,SAC vs. MIN,0,242,100,40,84,0.476,8,22,0.364,12,13,0.923,8,23,31,22,5,3,14,23,-18
ORL,ORL @ OKC,0,239,105,39,84,0.464,12,29,0.414,15,21,0.714,8,27,35,23,15,6,16,19,-7
IND,IND @ DAL,0,240,103,41,87,0.471,5,20,0.25,16,23,0.696,9,41,50,22,6,4,12,19,-6
MIN,MIN @ SAC,1,240,118,39,76,0.513,7,16,0.438,33,36,0.917,8,35,43,22,11,4,12,14,18
BOS,BOS vs. MEM,1,240,109,39,86,0.453,12,37,0.324,19,27,0.704,9,35,44,25,5,5,8,23,11
LAL,LAL @ ATL,1,240,123,47,90,0.522,15,33,0.455,14,19,0.737,10,49,59,28,8,6,23,23,19
OKC,OKC vs. ORL,1,239,112,42,88,0.477,11,25,0.44,17,20,0.85,14,36,50,24,6,6,20,13,7
TOR,TOR vs. DET,1,241,123,42,80,0.525,17,38,0.447,22,23,0.957,6,41,47,31,10,7,18,18,29
NOP,NOP vs. PHX,1,240,125,43,91,0.473,8,28,0.286,31,40,0.775,9,37,46,30,7,8,14,22,9
CHI,CHI @ BKN,0,240,87,33,93,0.355,6,23,0.261,15,23,0.652,15,41,56,17,8,7,13,11,-17
PHX,PHX @ NOP,0,241,116,42,97,0.433,7,24,0.292,25,32,0.781,14,37,51,23,9,5,14,33,-9
ATL,ATL vs. LAL,0,241,104,36,96,0.375,8,36,0.222,24,34,0.706,8,33,41,21,14,3,11,17,-19
MEM,MEM @ BOS,0,240,98,34,78,0.436,5,23,0.217,25,32,0.781,5,35,40,27,4,2,10,22,-11
BKN,BKN vs. CHI,1,239,104,40,90,0.444,16,42,0.381,8,8,1,7,41,48,31,4,9,15,20,17
DET,DET @ TOR,0,241,94,36,94,0.383,7,22,0.318,15,20,0.75,13,29,42,20,11,3,13,22,-29
HOU,HOU @ UTA,1,240,96,34,79,0.43,9,33,0.273,19,25,0.76,9,31,40,15,15,2,15,21,11
CLE,CLE vs. SAS,0,239,94,38,91,0.418,8,34,0.235,10,14,0.714,13,34,47,18,8,3,15,24,-16
WAS,WAS vs. PHI,1,240,109,43,79,0.544,12,25,0.48,11,12,0.917,10,38,48,35,9,6,19,28,15
DET,DET @ CHA,0,239,98,42,85,0.494,4,18,0.222,10,14,0.714,8,33,41,23,4,2,17,22,-16
CHA,CHA vs. DET,1,239,114,42,88,0.477,16,35,0.457,14,23,0.609,13,34,47,28,9,4,18,19,16
PHI,PHI @ WAS,0,242,94,31,86,0.36,9,33,0.273,23,31,0.742,17,26,43,24,13,3,15,16,-15
DEN,DEN vs. HOU,0,240,114,44,91,0.484,10,29,0.345,16,24,0.667,12,24,36,33,13,6,13,27,-2
SAS,SAS @ CLE,1,241,110,38,86,0.442,9,19,0.474,25,32,0.781,10,34,44,22,11,9,9,12,16
HOU,HOU @ DEN,1,239,119,39,77,0.506,15,35,0.429,26,32,0.813,11,31,42,18,7,3,18,23,5
NOP,NOP @ MIL,1,266,123,51,107,0.477,10,30,0.333,11,14,0.786,11,39,50,22,8,7,15,24,2
MIL,MIL vs. NOP,0,264,121,44,96,0.458,7,25,0.28,26,29,0.897,9,35,44,21,10,3,13,19,-2
MIA,MIA vs. MEM,1,240,115,41,89,0.461,12,33,0.364,21,27,0.778,14,36,50,27,15,6,10,17,26
UTA,UTA vs. DAL,1,239,97,34,85,0.4,9,32,0.281,20,26,0.769,9,35,44,26,6,3,11,19,7
DAL,DAL @ UTA,0,241,90,34,83,0.41,10,35,0.286,12,14,0.857,5,39,44,19,6,4,15,23,-7
NYK,NYK vs. BOS,0,239,112,45,96,0.469,6,27,0.222,16,20,0.8,13,36,49,20,10,4,14,22,-9
PHX,PHX vs. POR,0,239,104,39,87,0.448,11,26,0.423,15,21,0.714,6,45,51,23,5,10,13,24,-2
BOS,BOS @ NYK,1,240,121,42,93,0.452,13,33,0.394,24,28,0.857,11,34,45,21,11,5,11,15,14
PHI,PHI vs. ORL,1,240,116,42,81,0.519,9,27,0.333,23,27,0.852,9,36,45,31,5,4,14,16,11
SAC,SAC vs. LAL,0,239,108,42,94,0.447,13,25,0.52,11,17,0.647,17,31,48,28,5,5,11,21,-5
OKC,OKC @ GSW,0,239,80,29,88,0.33,9,34,0.265,13,21,0.619,14,29,43,19,8,3,15,17,-32
MIN,MIN vs. CHI,1,241,122,46,94,0.489,11,35,0.314,19,26,0.731,10,41,51,25,6,4,11,15,18
ORL,ORL @ PHI,0,240,105,38,85,0.447,13,31,0.419,16,19,0.842,6,27,33,27,7,5,11,20,-11
CHI,CHI @ MIN,0,242,104,42,90,0.467,6,23,0.261,14,20,0.7,4,38,42,21,5,9,14,20,-18
POR,POR @ PHX,1,241,106,39,99,0.394,6,30,0.2,22,30,0.733,12,36,48,15,6,7,6,19,2
LAL,LAL @ SAC,1,239,113,41,91,0.451,17,38,0.447,14,20,0.7,12,32,44,26,5,6,10,18,5
GSW,GSW vs. OKC,1,239,112,42,89,0.472,17,38,0.447,11,13,0.846,12,42,54,36,8,6,14,21,32
MEM,MEM @ MIA,0,240,89,35,80,0.438,5,11,0.455,14,17,0.824,9,31,40,16,7,3,19,22,-26
CLE,CLE @ MEM,1,239,112,40,87,0.46,11,29,0.379,21,22,0.955,7,39,46,26,13,9,18,23,23
TOR,TOR vs. MIL,0,265,119,43,90,0.478,9,34,0.265,24,26,0.923,5,32,37,23,7,8,12,21,-3
MIL,MIL @ TOR,1,265,122,43,90,0.478,13,26,0.5,23,27,0.852,13,38,51,21,6,3,18,24,3
CHA,CHA @ WAS,1,240,122,44,90,0.489,17,39,0.436,17,20,0.85,13,28,41,26,7,5,8,18,17
HOU,HOU vs. MIN,1,241,120,40,83,0.482,14,38,0.368,26,30,0.867,14,36,50,24,6,2,10,17,18
WAS,WAS vs. CHA,0,240,105,40,81,0.494,9,25,0.36,16,17,0.941,6,30,36,25,3,0,14,21,-17
POR,POR @ UTA,1,241,100,39,87,0.448,9,24,0.375,13,14,0.929,6,35,41,14,11,5,12,20,19
ATL,ATL @ IND,0,239,93,37,82,0.451,7,31,0.226,12,19,0.632,6,34,40,14,9,7,22,20,-23
LAC,LAC @ PHX,1,240,128,45,87,0.517,14,32,0.438,24,32,0.75,8,43,51,23,5,8,16,26,11
NOP,NOP vs. MIA,1,265,124,48,108,0.444,8,31,0.258,20,24,0.833,13,43,56,27,9,13,15,18,1
DEN,DEN vs. SAS,1,240,122,48,97,0.495,12,32,0.375,14,19,0.737,18,34,52,33,5,3,11,27,3
BOS,BOS @ DET,1,241,110,41,85,0.482,17,39,0.436,11,18,0.611,10,32,42,30,8,5,11,22,12
DET,DET vs. BOS,0,240,98,37,85,0.435,10,33,0.303,14,21,0.667,12,33,45,16,4,4,13,18,-12
IND,IND vs. ATL,1,239,116,48,101,0.475,9,28,0.321,11,13,0.846,15,42,57,30,17,3,17,20,23
MEM,MEM vs. CLE,0,240,89,33,84,0.393,9,24,0.375,14,18,0.778,5,32,37,22,10,4,21,25,-23
SAS,SAS @ DEN,0,238,119,43,85,0.506,5,16,0.313,28,39,0.718,11,27,38,28,4,4,7,20,-3
PHX,PHX vs. LAC,0,240,117,45,103,0.437,9,31,0.29,18,31,0.581,16,32,48,22,12,5,10,25,-11
DAL,DAL @ LAL,0,238,102,37,91,0.407,19,42,0.452,9,11,0.818,3,26,29,25,9,8,11,19,-22
LAL,LAL vs. DAL,1,239,124,48,93,0.516,13,33,0.394,15,20,0.75,13,49,62,32,8,6,16,17,22
MIN,MIN @ HOU,0,239,102,40,94,0.426,10,26,0.385,12,16,0.75,16,27,43,19,6,3,10,22,-18
MIA,MIA @ NOP,0,264,123,50,108,0.463,6,18,0.333,17,26,0.654,13,45,58,26,12,5,13,23,-2
UTA,UTA vs. POR,0,241,81,33,78,0.423,6,25,0.24,9,11,0.818,8,35,43,15,7,6,19,13,-19
NYK,NYK @ ORL,1,241,120,48,99,0.485,7,25,0.28,17,21,0.81,16,31,47,28,7,12,8,15,7
GSW,GSW vs. LAC,1,239,134,47,77,0.61,14,25,0.56,26,34,0.765,3,29,32,31,8,8,15,24,7
PHI,PHI @ CHI,1,240,116,42,82,0.512,11,29,0.379,21,35,0.6,8,33,41,25,7,5,9,17,1
OKC,OKC @ SAC,1,239,110,38,86,0.442,14,35,0.4,20,24,0.833,10,39,49,26,6,7,11,16,6
CHI,CHI vs. PHI,0,241,115,44,97,0.454,18,34,0.529,9,15,0.6,11,37,48,27,5,4,13,26,-1
CLE,CLE vs. WAS,0,241,103,42,84,0.5,8,35,0.229,11,19,0.579,6,30,36,20,5,2,13,15,-7
SAC,SAC vs. OKC,0,240,107,42,91,0.462,12,27,0.444,11,15,0.733,10,34,44,23,6,4,9,20,-6
BKN,BKN @ CHA,0,239,96,36,93,0.387,14,43,0.326,10,14,0.714,11,30,41,27,6,8,9,23,-15
ORL,ORL vs. NYK,0,240,113,43,83,0.518,11,24,0.458,16,23,0.696,5,34,39,28,7,5,13,15,-7
LAC,LAC @ GSW,0,240,127,44,88,0.5,11,32,0.344,28,34,0.824,8,28,36,32,9,3,14,19,-7
CHA,CHA vs. BKN,1,240,111,42,87,0.483,11,21,0.524,16,20,0.8,13,41,54,29,3,6,14,15,15
WAS,WAS @ CLE,1,239,110,44,92,0.478,12,30,0.4,10,10,1,9,34,43,29,9,3,10,23,7
MIL,MIL vs. DEN,0,241,123,49,92,0.533,9,26,0.346,16,22,0.727,11,29,40,27,9,5,16,20,-11
MIN,MIN vs. LAL,1,240,119,42,90,0.467,6,24,0.25,29,31,0.935,11,35,46,23,5,10,10,22,8
LAL,LAL @ MIN,0,240,111,43,94,0.457,7,31,0.226,18,26,0.692,11,35,46,19,6,4,13,26,-8
DEN,DEN @ MIL,1,240,134,47,85,0.553,24,40,0.6,16,20,0.8,8,26,34,37,9,6,18,23,11
DET,DET vs. ATL,1,240,104,35,83,0.422,13,33,0.394,21,25,0.84,10,37,47,26,3,5,16,18,6
MIA,MIA @ PHI,0,241,102,35,77,0.455,11,27,0.407,21,29,0.724,3,26,29,23,9,5,10,21,-2
HOU,HOU vs. SAC,1,241,100,33,83,0.398,14,49,0.286,20,22,0.909,7,41,48,19,10,5,13,14,9
ATL,ATL @ DET,0,239,98,38,89,0.427,6,33,0.182,16,19,0.842,8,35,43,25,9,4,11,21,-6
ORL,ORL vs. CHA,0,241,102,36,86,0.419,15,37,0.405,15,17,0.882,9,39,48,21,7,0,20,17,-2
NOP,NOP vs. LAL,1,239,139,53,99,0.535,14,32,0.438,19,21,0.905,12,36,48,35,13,7,11,20,22
NYK,NYK vs. WAS,0,240,113,45,97,0.464,9,19,0.474,14,18,0.778,11,31,42,21,7,1,10,17,-5
UTA,UTA vs. PHX,1,240,107,39,92,0.424,10,34,0.294,19,22,0.864,14,40,54,22,6,3,8,17,10
CHA,CHA @ ORL,1,241,104,38,88,0.432,13,30,0.433,15,19,0.789,8,37,45,26,14,4,12,15,2
SAC,SAC @ HOU,0,238,91,38,87,0.437,10,32,0.313,5,8,0.625,9,39,48,26,8,5,17,20,-9
PHI,PHI vs. MIA,1,240,104,39,92,0.424,9,35,0.257,17,25,0.68,23,37,60,25,6,2,17,23,2
LAC,LAC @ BOS,1,241,129,44,88,0.5,11,29,0.379,30,33,0.909,7,36,43,26,5,5,7,21,10
LAL,LAL @ NOP,0,240,117,46,90,0.511,10,22,0.455,15,18,0.833,7,30,37,26,5,3,20,21,-22
CHI,CHI vs. TOR,0,241,98,39,91,0.429,4,24,0.167,16,20,0.8,4,38,42,17,5,6,6,16,-24
MEM,MEM vs. OKC,0,241,114,44,86,0.512,14,27,0.519,12,15,0.8,6,35,41,29,6,2,12,25,-7
BKN,BKN vs. IND,0,240,103,35,83,0.422,13,35,0.371,20,27,0.741,9,35,44,24,4,2,13,20,-5
PHX,PHX @ UTA,0,241,97,34,79,0.43,12,29,0.414,17,24,0.708,5,36,41,19,5,6,12,25,-10
WAS,WAS @ NYK,1,239,118,48,88,0.545,7,22,0.318,15,19,0.789,6,39,45,31,7,9,11,16,5
IND,IND @ BKN,1,239,108,39,90,0.433,6,15,0.4,24,28,0.857,15,37,52,20,10,7,8,20,5
GSW,GSW @ POR,0,240,117,43,90,0.478,13,37,0.351,18,19,0.947,8,33,41,24,8,7,16,24,-6
OKC,OKC @ MEM,1,239,121,40,81,0.494,17,37,0.459,24,35,0.686,8,30,38,26,7,6,9,19,7
BOS,BOS vs. LAC,0,241,119,42,97,0.433,15,31,0.484,20,21,0.952,11,35,46,24,4,7,8,31,-10
POR,POR vs. GSW,1,240,123,45,93,0.484,12,33,0.364,21,24,0.875,13,36,49,20,9,0,13,18,6
TOR,TOR @ CHI,1,240,122,48,92,0.522,14,38,0.368,12,15,0.8,5,45,50,38,5,8,7,22,24
MIN,MIN vs. HOU,0,240,108,40,84,0.476,6,23,0.261,22,23,0.957,9,31,40,22,3,4,8,20,-18
SAS,SAS @ DEN,0,240,109,44,82,0.537,6,22,0.273,15,22,0.682,10,32,42,24,6,7,18,22,-8
SAC,SAC @ DAL,1,240,114,47,87,0.54,12,29,0.414,8,12,0.667,5,33,38,30,6,4,9,19,5
ATL,ATL @ MIL,0,240,92,33,86,0.384,12,35,0.343,14,20,0.7,14,36,50,21,7,6,12,14,-5
MIL,MIL vs. ATL,1,240,97,38,88,0.432,8,25,0.32,13,17,0.765,14,34,48,23,6,10,10,18,5
CLE,CLE @ OKC,1,241,120,45,88,0.511,16,36,0.444,14,22,0.636,10,31,41,24,6,3,7,28,8
HOU,HOU @ MIN,1,241,126,41,83,0.494,22,47,0.468,22,29,0.759,9,28,37,25,1,4,6,23,18
OKC,OKC vs. CLE,0,240,112,40,90,0.444,11,35,0.314,21,30,0.7,18,33,51,23,6,3,9,20,-8
TOR,TOR vs. MIA,1,240,115,42,90,0.467,13,35,0.371,18,23,0.783,7,33,40,24,7,3,8,19,3
MIA,MIA @ TOR,0,240,112,42,86,0.488,12,29,0.414,16,19,0.842,10,41,51,24,5,3,16,18,-3
DEN,DEN vs. SAS,1,240,117,46,93,0.495,10,32,0.313,15,18,0.833,11,24,35,29,10,3,11,18,8
DAL,DAL vs. SAC,0,240,109,38,83,0.458,15,40,0.375,18,23,0.783,4,33,37,29,4,4,9,15,-5
CHI,CHI vs. ORL,1,240,105,40,88,0.455,9,32,0.281,16,21,0.762,11,35,46,25,6,3,11,13,4
UTA,UTA vs. SAS,1,240,101,35,84,0.417,11,24,0.458,20,30,0.667,9,34,43,15,7,5,9,24,2
LAC,LAC @ BKN,1,241,114,48,85,0.565,6,16,0.375,12,14,0.857,8,35,43,19,8,6,15,14,13
SAS,SAS @ UTA,0,240,99,38,85,0.447,6,25,0.24,17,25,0.68,8,36,44,23,5,8,11,24,-2
PHX,PHX @ GSW,0,240,83,33,95,0.347,3,23,0.13,14,22,0.636,15,32,47,13,2,3,15,17,-46
NYK,NYK @ PHI,0,238,92,31,79,0.392,6,24,0.25,24,28,0.857,7,26,33,16,5,4,19,22,-16
BKN,BKN vs. LAC,0,240,101,41,89,0.461,12,40,0.3,7,10,0.7,10,27,37,27,10,6,12,15,-13
NOP,NOP @ DET,1,242,118,44,100,0.44,14,34,0.412,16,16,1,10,43,53,31,6,7,11,25,15
ORL,ORL @ CHI,0,241,101,37,84,0.44,10,31,0.323,17,19,0.895,7,32,39,24,8,7,9,18,-4
PHI,PHI vs. NYK,1,240,108,41,75,0.547,10,19,0.526,16,24,0.667,7,30,37,27,13,6,17,22,16
GSW,GSW vs. PHX,1,243,129,52,89,0.584,11,26,0.423,14,21,0.667,7,42,49,36,8,16,11,18,46
DET,DET vs. NOP,0,239,103,35,95,0.368,9,35,0.257,24,32,0.75,14,40,54,18,5,3,14,19,-15
ATL,ATL vs. DET,1,241,118,38,78,0.487,10,29,0.345,32,37,0.865,4,31,35,27,10,3,13,26,3
OKC,OKC vs. MEM,1,240,110,34,77,0.442,16,37,0.432,26,40,0.65,9,29,38,21,6,3,9,23,18
MIN,MIN vs. SAC,1,240,111,37,74,0.5,9,24,0.375,28,32,0.875,8,29,37,29,10,5,16,17,5
DAL,DAL @ HOU,0,241,97,38,93,0.409,10,31,0.323,11,16,0.688,12,40,52,26,6,4,14,25,-7
DET,DET @ ATL,0,241,115,38,83,0.458,13,33,0.394,26,33,0.788,12,28,40,30,6,4,15,28,-3
SAC,SAC @ MIN,0,241,106,42,88,0.477,10,25,0.4,12,17,0.706,15,28,43,17,12,2,18,23,-5
HOU,HOU vs. DAL,1,239,104,34,78,0.436,13,45,0.289,23,33,0.697,2,40,42,15,9,7,9,18,7
POR,POR vs. UTA,0,241,96,33,81,0.407,9,25,0.36,21,25,0.84,6,31,37,16,7,4,13,22,-19
TOR,TOR @ CHA,1,239,123,49,87,0.563,18,37,0.486,7,10,0.7,6,34,40,35,7,8,12,24,20
UTA,UTA @ POR,1,241,115,41,88,0.466,13,26,0.5,20,22,0.909,16,42,58,23,8,4,13,22,19
CLE,CLE @ BOS,1,241,121,45,84,0.536,16,30,0.533,15,20,0.75,5,36,41,22,7,6,11,20,22
IND,IND vs. NYK,1,240,121,47,94,0.5,12,28,0.429,15,22,0.682,16,38,54,27,7,5,13,16,8
MEM,MEM @ OKC,0,240,92,32,82,0.39,6,28,0.214,22,24,0.917,12,35,47,21,4,5,17,32,-18
NYK,NYK @ IND,0,241,113,41,93,0.441,9,35,0.257,22,25,0.88,12,33,45,27,8,3,11,18,-8
CHA,CHA vs. TOR,0,240,103,38,89,0.427,10,23,0.435,17,23,0.739,11,31,42,26,5,5,13,13,-20
BOS,BOS vs. CLE,0,239,99,36,89,0.404,10,38,0.263,17,22,0.773,13,30,43,22,3,4,14,14,-22
NOP,NOP @ BKN,1,291,138,52,106,0.491,9,24,0.375,25,39,0.641,14,45,59,23,10,10,15,18,10
GSW,GSW vs. SAS,1,240,122,48,85,0.565,12,27,0.444,14,15,0.933,11,33,44,35,5,6,16,18,17
WAS,WAS @ CHI,1,242,101,38,82,0.463,13,38,0.342,12,14,0.857,6,35,41,31,8,3,13,17,15
DEN,DEN @ PHX,1,239,123,45,88,0.511,13,29,0.448,20,22,0.909,6,31,37,20,10,5,13,23,7
SAS,SAS @ GSW,0,239,105,43,94,0.457,5,27,0.185,14,19,0.737,11,23,34,30,8,5,10,13,-17
PHX,PHX vs. DEN,0,240,113,46,84,0.548,7,19,0.368,14,25,0.56,8,28,36,24,7,9,15,24,-10
BKN,BKN vs. NOP,0,290,128,43,114,0.377,21,59,0.356,21,22,0.955,18,42,60,30,10,3,15,30,-10
MIL,MIL @ ORL,1,240,111,43,82,0.524,9,25,0.36,16,20,0.8,8,33,41,28,7,4,12,16,7
ORL,ORL vs. MIL,0,239,104,37,83,0.446,8,30,0.267,22,26,0.846,10,31,41,23,7,3,12,14,-7
CHI,CHI vs. WAS,0,241,90,34,80,0.425,9,32,0.281,13,16,0.813,9,36,45,23,11,2,14,16,-11
DAL,DAL vs. LAL,1,240,130,48,89,0.539,12,27,0.444,22,27,0.815,10,30,40,32,8,3,9,21,7
PHI,PHI vs. LAC,1,240,112,43,90,0.478,13,33,0.394,13,17,0.765,6,39,45,32,12,8,12,18,14
LAL,LAL @ DAL,0,241,123,46,84,0.548,16,34,0.471,15,22,0.682,9,28,37,29,7,0,17,25,-7
LAC,LAC @ PHI,0,240,98,38,88,0.432,8,32,0.25,14,23,0.609,11,42,53,20,7,5,16,16,-14
NOP,NOP @ PHI,0,238,82,33,95,0.347,8,31,0.258,8,16,0.5,8,38,46,17,8,6,12,12,-18
LAC,LAC @ DET,1,240,108,42,91,0.462,10,30,0.333,14,15,0.933,14,43,57,23,6,3,9,16,13
DET,DET vs. LAC,0,240,95,36,88,0.409,10,31,0.323,13,17,0.765,7,33,40,22,5,5,9,16,-13
CHI,CHI vs. MIN,1,242,114,41,83,0.494,9,26,0.346,23,30,0.767,5,34,39,22,5,4,11,19,1
SAC,SAC vs. POR,0,241,100,38,90,0.422,9,23,0.391,15,21,0.714,12,31,43,25,5,3,12,19,-18
POR,POR @ SAC,1,238,118,43,88,0.489,15,35,0.429,17,18,0.944,9,36,45,18,10,4,11,21,18
BOS,BOS vs. IND,0,239,91,34,89,0.382,7,27,0.259,16,20,0.8,12,26,38,16,5,8,10,21,-6
MIL,MIL @ MIA,0,241,85,32,76,0.421,6,20,0.3,15,17,0.882,2,35,37,18,9,9,17,20,-6
HOU,HOU vs. DEN,1,240,130,43,86,0.5,19,41,0.463,25,34,0.735,11,37,48,26,5,7,11,16,26
PHI,PHI vs. NOP,1,239,100,39,93,0.419,14,34,0.412,8,9,0.889,8,50,58,26,10,4,15,16,18
ATL,ATL vs. CLE,0,238,107,37,83,0.446,16,44,0.364,17,19,0.895,6,36,42,20,4,4,12,18,-16
CLE,CLE @ ATL,1,240,123,46,86,0.535,15,35,0.429,16,24,0.667,6,37,43,31,8,4,9,17,16
CHA,CHA @ UTA,0,241,94,35,85,0.412,9,24,0.375,15,19,0.789,5,28,33,17,8,2,7,18,-12
DEN,DEN @ HOU,0,240,104,42,88,0.477,3,28,0.107,17,21,0.81,7,32,39,25,7,2,10,20,-26
IND,IND @ BOS,1,240,97,37,83,0.446,5,20,0.25,18,22,0.818,13,40,53,18,6,5,13,20,6
MIA,MIA vs. MIL,1,239,91,32,88,0.364,10,26,0.385,17,18,0.944,13,38,51,16,7,7,16,21,6
MIN,MIN @ CHI,0,241,113,41,87,0.471,8,22,0.364,23,28,0.821,11,35,46,19,8,4,13,22,-1
UTA,UTA vs. CHA,1,241,106,41,84,0.488,10,29,0.345,14,17,0.824,7,42,49,29,5,7,12,17,12
ORL,ORL vs. ATL,1,239,100,36,84,0.429,9,29,0.31,19,22,0.864,8,28,36,20,10,6,13,22,2
DAL,DAL @ GSW,0,240,103,40,92,0.435,9,37,0.243,14,17,0.824,9,25,34,19,15,7,10,16,-18
ATL,ATL @ ORL,0,240,98,37,87,0.425,12,30,0.4,12,18,0.667,9,37,46,25,4,7,17,23,-2
BOS,BOS @ WAS,1,265,110,39,84,0.464,9,26,0.346,23,34,0.676,7,38,45,16,9,6,18,20,6
POR,POR vs. CHA,1,266,109,41,90,0.456,9,31,0.29,18,22,0.818,9,48,57,18,7,7,17,19,6
CHA,CHA @ POR,0,265,103,38,98,0.388,13,33,0.394,14,17,0.824,7,37,44,17,10,3,11,16,-6
OKC,OKC @ LAL,0,240,81,32,90,0.356,8,34,0.235,9,19,0.474,17,33,50,16,6,4,13,11,-25
TOR,TOR vs. NYK,1,241,113,43,95,0.453,16,43,0.372,11,14,0.786,9,43,52,31,11,5,8,17,25
GSW,GSW vs. DAL,1,240,121,45,88,0.511,14,29,0.483,17,20,0.85,18,33,51,37,6,7,16,18,18
NYK,NYK @ TOR,0,240,88,33,83,0.398,7,27,0.259,15,18,0.833,5,38,43,19,4,8,15,15,-25
WAS,WAS vs. BOS,0,265,104,38,95,0.4,12,26,0.462,16,20,0.8,17,35,52,28,11,4,20,23,-6
LAL,LAL vs. OKC,1,238,106,42,96,0.438,10,31,0.323,12,13,0.923,13,38,51,28,5,7,8,19,25
HOU,HOU @ MIA,1,240,109,38,74,0.514,12,31,0.387,21,26,0.808,4,31,35,16,8,6,9,16,8
CLE,CLE vs. MIN,1,264,140,52,88,0.591,21,41,0.512,15,23,0.652,7,34,41,33,5,1,15,21,2
PHX,PHX vs. SAS,0,241,81,33,97,0.34,3,32,0.094,12,18,0.667,11,33,44,15,8,4,11,23,-48
MIA,MIA vs. HOU,0,239,101,39,88,0.443,13,32,0.406,10,12,0.833,15,26,41,23,3,3,13,17,-8
MIN,MIN @ CLE,0,264,138,54,93,0.581,19,33,0.576,11,12,0.917,4,31,35,33,7,4,11,19,-2
DET,DET vs. BKN,1,241,115,44,92,0.478,9,24,0.375,18,25,0.72,8,38,46,20,10,3,7,12,9
BKN,BKN @ DET,0,241,106,39,90,0.433,17,51,0.333,11,12,0.917,8,42,50,33,4,6,19,20,-9
UTA,UTA @ MEM,1,240,92,29,69,0.42,6,22,0.273,28,33,0.848,9,34,43,14,6,4,19,16,4
SAS,SAS @ PHX,1,239,129,46,93,0.495,16,32,0.5,21,27,0.778,14,48,62,26,6,6,12,17,48
MEM,MEM vs. UTA,0,240,88,34,81,0.42,8,23,0.348,12,16,0.75,9,27,36,18,12,5,15,26,-4
PHX,PHX @ LAL,0,239,93,36,94,0.383,8,29,0.276,13,23,0.565,16,32,48,24,4,4,11,18,-19
WAS,WAS @ PHI,0,240,102,41,93,0.441,7,27,0.259,13,18,0.722,16,23,39,23,14,2,11,18,-13
